"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id","player_id","player_url"
"23","2017","Cornell","Ivy League",1,"21","Blackstone, Mitch","So","C",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779088","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779088"
"24","2017","Cornell","Ivy League",1,"31","Wyatt, Colby","Fr","P",8,8,2,13,9,14,15,13,4,7,NA,48,40,4,NA,NA,3,1,3,NA,5,3,NA,NA,127,9,11,NA,2,NA,2,167,865,"1884389","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884389"
"25","2017","Cornell","Ivy League",1,"34","Morris, Tommy","Sr","P",5,5,5,4.28,27.1,28,13,13,10,10,NA,115,102,6,NA,NA,2,2,NA,NA,NA,NA,2,1,153,36,31,2,2,NA,NA,167,865,"1884404","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884404"
"26","2017","Cornell","Ivy League",1,"3","Price, C.J.","Sr","C",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779087","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779087"
"27","2017","Cornell","Ivy League",1,"13","Saks, Adam","So","P",3,3,NA,0,2.1,1,NA,NA,3,3,NA,12,8,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,35,3,1,NA,NA,NA,2,167,865,"1779079","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779079"
"28","2017","Cornell","Ivy League",1,"20","Pannullo, Rob","Sr","P",2,2,NA,0,0.2,0,NA,NA,2,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,167,865,"1779082","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779082"
"29","2017","Cornell","Ivy League",1,"17","Morris, Parker","So","OF",1,1,1,6.75,4,5,3,3,0,5,NA,18,16,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,4,NA,NA,NA,NA,167,865,"1779081","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779081"
"30","2017","Cornell","Ivy League",1,"28","Cintron, Nick","Fr","P",1,1,NA,0,1,0,NA,NA,0,1,NA,4,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,167,865,"1884387","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884387"
"31","2017","Cornell","Ivy League",1,"-","Totals","-","-",NA,NA,NA,4.6,307,327,185,157,115,216,2,NA,NA,65,7,2,29,13,28,1,NA,NA,15,13,NA,362,294,NA,NA,NA,66,167,865,NA,NA
"32","2017","Cornell","Ivy League",1,"-","Opponent Totals","-","-",NA,NA,NA,5.37,311.2,373,220,186,137,245,4,NA,NA,80,11,3,21,34,34,3,NA,NA,3,14,NA,315,316,NA,NA,NA,61,167,865,NA,NA
