Name,Exit Velocity,Ball Velocity,Launch Angle,Exit Direction,Spin,Distance,S Zone X,S Zone Y,,,,,,
Flematti,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,74.2 ,83.3 ,43.2 ,57.4,4568 ,241 ,-21.3 ,55.9 ,,,,,,
Flematti,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,75.5 ,83.3 ,14.0 ,20.4,3190 ,188 ,0.9 ,29.9 ,,,,,,
Rodriguez,87.3 ,84.3 ,37.8 ,19.8,3898 ,306 ,-3.7 ,37.4 ,,,,,,
Rodriguez,60.9 ,83.3 ,22.6 ,-63.4,4655 ,155 ,-5.8 ,14.7 ,,,,,,
Rodriguez,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,NA,78.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,71.0 ,83.3 ,29.7 ,22.6,4624 ,228 ,5.1 ,26.7 ,,,,,,
Rodriguez,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,87.5 ,83.3 ,-4.9 ,-26.9,2070 ,23 ,8.1 ,33.7 ,,,,,,
Rodriguez,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,84.4 ,88.7 ,23.3 ,31.1,4557 ,279 ,-0.4 ,32.1 ,,,,,,
Rodriguez,100.2 ,83.3 ,-1.5 ,2.8,842 ,36 ,-2.9 ,24.8 ,,,,,,
Rodriguez,85.5 ,83.3 ,18.5 ,-6,1398 ,285 ,6.6 ,33.1 ,,,,,,
Rodriguez,82.9 ,83.3 ,12.1 ,4.6,1359 ,187 ,1.8 ,34.4 ,,,,,,
Rodriguez,102.8 ,88.9 ,3.6 ,-20.4,1427 ,91 ,5.9 ,23.3 ,,,,,,
Rodriguez,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Rodriguez,69.9 ,83.3 ,18.9 ,41,4235 ,186 ,-1.2 ,35.7 ,,,,,,
Rodriguez,82.0 ,80.5 ,5.0 ,8.7,1411 ,89 ,2.3 ,24.2 ,,,,,,
Guy,78.0 ,83.3 ,15.9 ,9.2,1585 ,198 ,NA,32.1 ,,,,,,
Guy,85.7 ,83.3 ,11.0 ,1,958 ,171 ,3.9 ,30.1 ,,,,,,
Guy,80.5 ,83.3 ,44.9 ,12.1,4848 ,252 ,2.7 ,22.7 ,,,,,,
Guy,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,76.8 ,83.6 ,56.2 ,40.8,2633 ,220 ,0.4 ,33.2 ,,,,,,
Carnegie,88.4 ,84.7 ,23.0 ,0.1,2026 ,319 ,-0.4 ,27.1 ,,,,,,
Carnegie,NA,85.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,78.7 ,84.7 ,59.6 ,16.2,727 ,233 ,-4.0 ,48.7 ,,,,,,
Carnegie,86.8 ,88.4 ,45.9 ,9.2,1912 ,302 ,1.2 ,49.6 ,,,,,,
Carnegie,83.9 ,85.7 ,69.7 ,53.7,3001 ,156 ,-6.1 ,47.9 ,,,,,,
Carnegie,NA,81.9 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,86.9 ,85.4 ,15.5 ,-5,1395 ,268 ,0.8 ,29.6 ,,,,,,
Carnegie,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Carnegie,97.3 ,86.1 ,-5.9 ,-16.4,2207 ,15 ,7.2 ,20.4 ,,,,,,
Carnegie,69.9 ,85.4 ,13.2 ,9.9,2761 ,141 ,-4.6 ,23.1 ,,,,,,
Carnegie,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
